Time,PACU_VAV_BOT:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Heat Cap [W],PACU_VAV_BOT:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Heat Cap [W],PACU_VAV_BOT:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_BOT:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_BOT:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Heat Cap [W],PACU_VAV_MID:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Heat Cap [W],PACU_VAV_MID:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_MID:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_MID:DesPer 2:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Heat Cap [W],PACU_VAV_TOP:DesPer 1:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 1:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 1:Des Tot Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Heat Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Heat Cap [W],PACU_VAV_TOP:DesPer 2:Des Cool Mass Flow [kg/s],PACU_VAV_TOP:DesPer 2:Des Sens Cool Cap [W],PACU_VAV_TOP:DesPer 2:Des Tot Cool Cap [W]
02:45:00,8.630192E-01,0.000000E+00,2.008528E+00,2.472196E+04,4.494131E+04,9.024891E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.082062E+00,2.554939E+04,4.596074E+04,9.494923E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.972457E+00,2.431584E+04,4.475352E+04,1.071325E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
03:00:00,8.630192E-01,0.000000E+00,2.002096E+00,2.458454E+04,4.479805E+04,9.024865E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.074111E+00,2.539488E+04,4.579922E+04,9.494912E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.960045E+00,2.411113E+04,4.453839E+04,1.071325E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
03:15:00,8.630192E-01,0.000000E+00,1.995907E+00,2.444985E+04,4.465811E+04,9.024840E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.066429E+00,2.524339E+04,4.564128E+04,9.494901E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.948084E+00,2.391148E+04,4.432901E+04,1.071325E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
03:30:00,8.630192E-01,0.000000E+00,1.989939E+00,2.431765E+04,4.452107E+04,9.024815E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.059013E+00,2.509490E+04,4.548679E+04,9.494890E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.936564E+00,2.371680E+04,4.412511E+04,1.071324E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
03:45:00,8.630192E-01,0.000000E+00,1.984109E+00,2.418700E+04,4.438587E+04,9.024790E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.051774E+00,2.494839E+04,4.533455E+04,9.494880E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.925367E+00,2.352575E+04,4.392520E+04,1.071324E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
04:00:00,8.630192E-01,0.000000E+00,1.978404E+00,2.405775E+04,4.425226E+04,9.024765E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.044677E+00,2.480348E+04,4.518409E+04,9.494869E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.914462E+00,2.333799E+04,4.372881E+04,1.071324E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
04:15:00,8.630192E-01,0.000000E+00,1.972880E+00,2.395223E+04,4.414319E+04,9.024740E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.037817E+00,2.468292E+04,4.505885E+04,9.494859E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.903976E+00,2.317662E+04,4.355981E+04,1.071324E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
04:30:00,8.630192E-01,0.000000E+00,1.967522E+00,2.384858E+04,4.403612E+04,9.024716E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.031190E+00,2.456499E+04,4.493638E+04,9.494849E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.893892E+00,2.301977E+04,4.339560E+04,1.071323E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
04:45:00,8.630192E-01,0.000000E+00,1.962307E+00,2.374653E+04,4.393075E+04,9.024692E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.024786E+00,2.444955E+04,4.481656E+04,9.494838E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.884161E+00,2.286691E+04,4.323558E+04,1.071323E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
05:00:00,8.630192E-01,0.000000E+00,1.957237E+00,2.364610E+04,4.382707E+04,9.024668E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.018580E+00,2.433635E+04,4.469905E+04,9.494828E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.874760E+00,2.271775E+04,4.307941E+04,1.071323E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
05:15:00,8.630192E-01,0.000000E+00,1.952581E+00,2.363706E+04,4.381749E+04,9.024644E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.012866E+00,2.431541E+04,4.467662E+04,9.494818E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.866025E+00,2.266280E+04,4.302051E+04,1.071323E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
05:30:00,8.630192E-01,0.000000E+00,1.948373E+00,2.363307E+04,4.381315E+04,9.024620E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.007709E+00,2.430073E+04,4.466077E+04,9.494808E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.858014E+00,2.261601E+04,4.297026E+04,1.071323E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
05:45:00,8.630192E-01,0.000000E+00,1.944593E+00,2.363389E+04,4.381380E+04,9.024597E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,2.003080E+00,2.429199E+04,4.465110E+04,9.494798E-01,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04,8.630192E-01,0.000000E+00,1.850687E+00,2.257692E+04,4.292811E+04,1.071322E+00,0.000000E+00,8.630192E-01,5.289995E+03,1.678080E+04
