ts,real_kw
2023-01-01 00:00:00,7.8270087242126465
2023-01-01 00:15:00,7.821118354797363
2023-01-01 00:30:00,7.903653144836426
2023-01-01 00:45:00,7.170865058898926
2023-01-01 01:00:00,7.516404151916504
2023-01-01 01:15:00,8.339120864868164
2023-01-01 01:30:00,8.268978118896484
2023-01-01 01:45:00,7.803407192230225
2023-01-01 02:00:00,7.6446919441223145
2023-01-01 02:15:00,7.742129802703857
2023-01-01 02:30:00,7.2102885246276855
2023-01-01 02:45:00,7.631057739257812
2023-01-01 03:00:00,8.189263343811035
2023-01-01 03:15:00,7.69312572479248
2023-01-01 03:30:00,7.92665433883667
2023-01-01 03:45:00,8.200465202331543
2023-01-01 04:00:00,8.282174110412598
2023-01-01 04:15:00,12.629590034484863
2023-01-01 04:30:00,8.24528980255127
2023-01-01 04:45:00,7.321046352386475
2023-01-01 05:00:00,12.623875617980955
2023-01-01 05:15:00,7.16604471206665
2023-01-01 05:30:00,8.52794075012207
2023-01-01 05:45:00,7.783321380615234
2023-01-01 06:00:00,7.253052234649658
2023-01-01 06:15:00,6.553193092346191
2023-01-01 06:30:00,6.549600601196289
2023-01-01 06:45:00,6.849386692047119
2023-01-01 07:00:00,7.334935188293457
2023-01-01 07:15:00,7.001984596252441
2023-01-01 07:30:00,12.33169651031494
2023-01-01 07:45:00,7.4519124031066895
2023-01-01 08:00:00,6.392286777496338
2023-01-01 08:15:00,11.133028030395508
2023-01-01 08:30:00,6.5958991050720215
2023-01-01 08:45:00,7.085179805755615
2023-01-01 09:00:00,6.828737735748291
2023-01-01 09:15:00,6.9294843673706055
2023-01-01 09:30:00,7.511793613433838
2023-01-01 09:45:00,7.072990894317627
2023-01-01 10:00:00,6.9397478103637695
2023-01-01 10:15:00,7.25571870803833
2023-01-01 10:30:00,6.6926493644714355
2023-01-01 10:45:00,6.326669692993164
2023-01-01 11:00:00,6.950406551361084
2023-01-01 11:15:00,6.390693664550781
2023-01-01 11:30:00,7.491696357727051
2023-01-01 11:45:00,8.045944213867188
2023-01-01 12:00:00,6.716014862060547
2023-01-01 12:15:00,6.436172008514404
2023-01-01 12:30:00,7.587930202484131
2023-01-01 12:45:00,6.6603546142578125
2023-01-01 13:00:00,7.110827922821045
2023-01-01 13:15:00,6.323027610778809
2023-01-01 13:30:00,12.686126708984377
2023-01-01 13:45:00,6.930504322052002
2023-01-01 14:00:00,6.783715724945068
2023-01-01 14:15:00,12.690482139587402
2023-01-01 14:30:00,12.305232048034668
2023-01-01 14:45:00,6.683136940002441
2023-01-01 15:00:00,6.815056800842285
2023-01-01 15:15:00,13.929176330566406
2023-01-01 15:30:00,6.479294300079346
2023-01-01 15:45:00,7.114246845245361
2023-01-01 16:00:00,7.563133716583252
2023-01-01 16:15:00,12.334948539733888
2023-01-01 16:30:00,7.041414737701416
2023-01-01 16:45:00,6.975975513458252
2023-01-01 17:00:00,6.473589420318604
2023-01-01 17:15:00,12.25023078918457
2023-01-01 17:30:00,7.312936782836914
2023-01-01 17:45:00,7.124309539794922
2023-01-01 18:00:00,7.054263591766357
2023-01-01 18:15:00,12.737611770629885
2023-01-01 18:30:00,8.38269329071045
2023-01-01 18:45:00,7.664035320281982
2023-01-01 19:00:00,7.717507839202881
2023-01-01 19:15:00,7.124802589416504
2023-01-01 19:30:00,7.674370765686035
2023-01-01 19:45:00,7.97838830947876
2023-01-01 20:00:00,8.051947593688965
2023-01-01 20:15:00,7.275927066802978
2023-01-01 20:30:00,8.320350646972656
2023-01-01 20:45:00,7.608506679534912
2023-01-01 21:00:00,13.01609992980957
2023-01-01 21:15:00,7.618354797363281
2023-01-01 21:30:00,7.881364345550537
2023-01-01 21:45:00,7.176970481872559
2023-01-01 22:00:00,7.645803928375244
2023-01-01 22:15:00,12.118700981140137
2023-01-01 22:30:00,8.056471824645996
2023-01-01 22:45:00,7.367196083068848
2023-01-01 23:00:00,7.229370594024658
2023-01-01 23:15:00,7.7055134773254395
2023-01-01 23:30:00,13.044925689697266
2023-01-01 23:45:00,7.835007667541504
2023-01-02 00:00:00,7.194138526916504
2023-01-02 00:15:00,7.719702243804932
2023-01-02 00:30:00,7.818239212036133
2023-01-02 00:45:00,13.36011028289795
2023-01-02 01:00:00,7.762946128845215
2023-01-02 01:15:00,7.694473743438721
2023-01-02 01:30:00,7.951680183410644
2023-01-02 01:45:00,7.81873607635498
2023-01-02 02:00:00,8.376060485839844
2023-01-02 02:15:00,8.46427059173584
2023-01-02 02:30:00,7.861437797546387
2023-01-02 02:45:00,7.189451217651367
2023-01-02 03:00:00,7.603747844696045
2023-01-02 03:15:00,7.715328693389893
2023-01-02 03:30:00,12.439224243164064
2023-01-02 03:45:00,7.135075092315674
2023-01-02 04:00:00,7.281011581420898
2023-01-02 04:15:00,12.137487411499023
2023-01-02 04:30:00,7.7217326164245605
2023-01-02 04:45:00,7.190454006195068
2023-01-02 05:00:00,7.744671821594238
2023-01-02 05:15:00,7.710794925689697
2023-01-02 05:30:00,8.332098960876465
2023-01-02 05:45:00,7.279332160949707
2023-01-02 06:00:00,6.506061553955078
2023-01-02 06:15:00,7.144925594329834
2023-01-02 06:30:00,6.8024067878723145
2023-01-02 06:45:00,7.0433735847473145
2023-01-02 07:00:00,7.129926681518555
2023-01-02 07:15:00,6.557849407196045
2023-01-02 07:30:00,7.093815326690674
2023-01-02 07:45:00,11.764443397521973
2023-01-02 08:00:00,7.058748245239258
2023-01-02 08:15:00,7.539393901824951
2023-01-02 08:30:00,11.82259750366211
2023-01-02 08:45:00,7.020030975341797
