#{"t_start": 1769973165.9623892, "env_id": "None"}
r,l,t
-1432.205368,10104,207.091663
-1432.205368,10104,424.584365
-1432.205368,10104,645.861709
-1432.205368,10104,864.005998
-1432.205368,10104,1076.015694
-1432.205368,10104,1290.893553
-1432.205368,10104,1505.737855
-1432.205368,10104,1717.553759
-1432.205368,10104,1925.987795
-1432.205368,10104,2138.955136
-1432.205368,10104,2363.744612
-1432.205368,10104,2583.30132
-1432.205368,10104,2810.91574
-1432.205368,10104,3000.091264
