#{"t_start": 1769976424.5527568, "env_id": "None"}
r,l,t
-1430.524006,10104,148.151186
-1430.524006,10104,293.56066
-1430.524006,10104,444.810488
-1430.524006,10104,579.149838
-1430.524006,10104,721.288431
-1430.524006,10104,861.223163
-1430.524006,10104,994.213416
-1430.524006,10104,1134.744781
-1430.524006,10104,1280.28833
-1430.524006,10104,1426.442677
-1430.524006,10104,1566.969198
-1430.524006,10104,1719.91658
-1430.524006,10104,1872.906776
-1430.524006,10104,2009.833032
